ID	RA	Dec	Nobs	obs_dates
UW131	12.499562	1.8903599999999998	0	[]
UW132	12.664319	1.8903599999999998	0	[]
UW133	12.829075	1.8903599999999998	0	[]
UW134	12.993831	1.8903599999999998	0	[]
UW135	13.158586999999999	1.8903599999999998	0	[]
UW136	13.323344	1.8903599999999998	0	[]
UW137	13.4881	1.8903599999999998	0	[]
UW138	13.652856	1.8903599999999998	0	[]
UW139	13.817613	1.8903599999999998	0	[]
UW140	13.982369	1.8903599999999998	0	[]
UW141	14.147125	1.8903599999999998	0	[]
UW142	14.311882	1.8903599999999998	0	[]
UW143	14.476638000000001	1.8903599999999998	0	[]
UW144	14.641394	1.8903599999999998	0	[]
UW145	14.806151000000002	1.8903599999999998	0	[]
UW146	14.970907	1.8903599999999998	0	[]
UW147	15.135663000000001	1.8903599999999998	0	[]
UW148	15.30042	1.8903599999999998	0	[]
UW149	15.465176000000001	1.8903599999999998	0	[]
UW150	15.629932	1.8903599999999998	0	[]
UW151	15.794689000000002	1.8903599999999998	0	[]
UW152	15.959445	1.8903599999999998	0	[]
UW153	16.124201	1.8903599999999998	0	[]
UW154	16.288957999999997	1.8903599999999998	0	[]
UW155	7.829789999999999	3.69536	0	[]
UW156	7.9948	3.69536	0	[]
UW157	8.15981	3.69536	0	[]
UW158	8.324819	3.69536	0	[]
UW159	8.489828999999999	3.69536	0	[]
UW160	8.654838999999999	3.69536	0	[]
UW161	8.819849000000001	3.69536	0	[]
UW162	8.984858000000001	3.69536	0	[]
UW163	9.149868	3.69536	0	[]
UW164	9.314878	3.69536	0	[]
UW165	9.479888	3.69536	0	[]
UW166	9.644897	3.69536	0	[]
UW167	9.809907	3.69536	0	[]
UW168	9.974917	3.69536	0	[]
UW169	10.139927	3.69536	0	[]
UW170	10.304936	3.69536	0	[]
UW171	10.469946	3.69536	0	[]
UW172	10.634955999999999	3.69536	0	[]
UW173	10.799966	3.69536	0	[]
UW174	10.964975	3.69536	0	[]
UW175	11.129985000000001	3.69536	0	[]
UW176	11.294995	3.69536	0	[]
UW177	11.460005	3.69536	0	[]
UW178	11.625014	3.69536	0	[]
UW179	11.790024	3.69536	0	[]
UW180	11.955034	3.69536	0	[]
UW181	12.120044	3.69536	0	[]
UW182	12.285053	3.69536	0	[]
UW183	12.450063	3.69536	0	[]
UW184	12.615072999999999	3.69536	0	[]
UW185	12.780083	3.69536	0	[]
UW186	12.945092	3.69536	0	[]
UW187	13.110102	3.69536	0	[]
UW188	13.275112	3.69536	0	[]
UW189	13.440122	3.69536	0	[]
UW190	13.605131	3.69536	0	[]
UW191	13.770141	3.69536	0	[]
UW192	13.935151000000001	3.69536	0	[]
UW193	14.100160999999998	3.69536	0	[]
UW194	14.265170000000001	3.69536	0	[]
UW195	14.430179999999998	3.69536	0	[]
UW196	14.595189999999999	3.69536	0	[]
UW197	14.7602	3.69536	0	[]
UW198	14.925208999999999	3.69536	0	[]
UW199	15.090219	3.69536	0	[]
UW200	15.255229	3.69536	0	[]
UW201	15.420239000000002	3.69536	0	[]
UW202	15.585248000000002	3.69536	0	[]
UW203	15.750257999999999	3.69536	0	[]
UW204	15.915268	3.69536	0	[]
UW205	16.080278	3.69536	0	[]
UW206	16.245287	3.69536	0	[]
UW207	16.410297	3.69536	0	[]
UW208	7.833098	5.50036	117	['2021-03-11']
UW209	7.998525999999999	5.50036	0	[]
UW210	8.163955	5.50036	0	[]
UW211	8.329383	5.50036	0	[]
UW212	8.494812	5.50036	0	[]
UW213	8.66024	5.50036	0	[]
UW214	8.825667999999999	5.50036	0	[]
UW215	8.991097	5.50036	0	[]
UW216	9.156525	5.50036	0	[]
UW217	9.321953	5.50036	0	[]
UW218	9.487382	5.50036	0	[]
UW219	9.65281	5.50036	0	[]
UW220	9.818238000000001	5.50036	0	[]
UW221	9.983667	5.50036	0	[]
UW222	10.149094999999999	5.50036	0	[]
UW223	10.314524	5.50036	0	[]
UW224	10.479952	5.50036	0	[]
UW225	10.645380000000001	5.50036	0	[]
UW226	10.810808999999999	5.50036	0	[]
UW227	10.976237	5.50036	0	[]
UW228	11.141665	5.50036	0	[]
UW229	11.307094000000001	5.50036	0	[]
UW230	11.472522	5.50036	0	[]
UW231	11.63795	5.50036	0	[]
UW232	11.803379	5.50036	0	[]
UW233	11.968807	5.50036	0	[]
UW234	12.134236	5.50036	0	[]
UW235	12.299664	5.50036	0	[]
UW236	12.465092	5.50036	0	[]
UW237	12.630521	5.50036	0	[]
UW238	12.795949	5.50036	0	[]
UW239	12.961377	5.50036	0	[]
UW240	13.126806	5.50036	0	[]
UW241	13.292233999999999	5.50036	0	[]
UW242	13.457663	5.50036	0	[]
UW243	13.623091	5.50036	0	[]
UW244	13.788519	5.50036	0	[]
UW245	13.953948	5.50036	0	[]
UW246	14.119376	5.50036	0	[]
UW247	14.284804000000001	5.50036	0	[]
UW248	14.450232999999999	5.50036	0	[]
UW249	14.615661	5.50036	0	[]
UW250	14.781089000000001	5.50036	0	[]
UW251	14.946518	5.50036	0	[]
